age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,school,plans_further_education,career_goal,cost_importance,culture_importance,internship_importance,ranking_influence,extracurricular_importance,family_influence,friend_influence,social_media_influence,scholarship_significance,has_scholarship,funding_source,financial_consideration,residence,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,engagement_level,engagement_category,internship_participation,external_influence,selection_criteria_list,cca_list,satisfaction_group
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,1.0,Product Manager,8,8,8,7,8,6,5,4,6,0,Family,7.0,On campus,Extroverted,1,15,Academic,1,4,Medium,1,5.0,"['Technology Focus', 'Technology Focus', 'Innovation Culture']",['Design Club'],Neutral
18 - 24,Male,Domestic,SUTD,3,Theoretical,Small,Engineering,0.5,Engineer,6,9,7,6,8,7,5,5,7,0,Family,6.5,Off campus,Ambivert,0,14,Arts,4,3,Medium,1,5.666666666666667,"['Research Opportunities', 'Campus Facilities', 'Industry Connections']","['Design Club', 'Sports Club', 'Innovation Lab', 'Technology Club']",Neutral
18 - 24,Female,International,SUTD,4,Group-based,Small,Arts,0.0,Product Manager,7,7,8,6,7,6,6,5,6,1,Scholarship,6.5,Off campus,Extroverted,1,12,Academic,3,4,Medium,1,5.666666666666667,"['Industry Connections', 'Hands-on Learning', 'Hands-on Learning']","['Innovation Lab', 'Design Club', 'Technology Club']",Satisfied
Under 18,Female,Domestic,SUTD,4,Auditory,Small,Computing,1.0,Product Manager,7,6,7,6,7,5,6,4,7,0,Family,7.0,Commute,Extroverted,0,16,Professional,1,2,Low,1,5.0,"['Small Class Size', 'Industry Connections', 'Hands-on Learning']",['Innovation Lab'],Satisfied
18 - 24,Female,Domestic,SUTD,3,Group-based,Small,Engineering,0.5,Software Engineer,6,7,8,7,7,5,5,4,7,1,Family,6.5,Commute,Extroverted,1,11,Arts,3,4,Medium,0,4.666666666666667,"['Hands-on Learning', 'Innovation Culture', 'Innovation Culture']","['Design Club', 'Design Club', 'Design Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Group-based,Small,Arts,1.0,Design Engineer,6,7,8,7,7,5,5,5,6,0,Scholarship,6.0,On campus,Introverted,0,12,Arts,3,2,Low,1,5.0,"['Small Class Size', 'Industry Connections', 'Hands-on Learning']","['Design Club', 'Design Club', 'Technology Club']",Neutral
Under 18,Female,Domestic,SUTD,4,Hands-on/Practical,Small,Computing,1.0,Design Engineer,6,8,7,7,7,6,5,5,6,1,Scholarship,6.0,Commute,Extroverted,0,16,Arts,3,3,Medium,1,5.333333333333333,"['Industry Connections', 'Hands-on Learning', 'Hands-on Learning']","['Sports Club', 'Sports Club', 'Arts Group']",Satisfied
18 - 24,Female,International,SUTD,3,Hands-on/Practical,Small,Engineering,0.0,Entrepreneur,7,8,8,7,7,6,7,5,7,1,Family,7.0,Off campus,Introverted,0,17,Community,1,2,Low,1,6.0,"['Innovation Culture', 'Industry Connections', 'Innovation Culture']",['Technology Club'],Neutral
18 - 24,Male,Domestic,SUTD,4,Visual,Small,Computing,0.0,Software Engineer,6,8,8,8,7,5,5,4,7,1,Scholarship,6.5,On campus,Extroverted,0,14,Academic,3,2,Low,1,4.666666666666667,"['Hands-on Learning', 'Research Opportunities', 'Innovation Culture']","['Technology Club', 'Sports Club', 'Technology Club']",Satisfied
25 - 30,Female,Domestic,SUTD,3,Theoretical,Small,Arts,0.5,Engineer,6,8,7,6,8,6,5,4,7,1,Self-funded,6.5,On campus,Introverted,0,10,Community,1,1,Low,1,5.0,"['Hands-on Learning', 'Technology Focus', 'Technology Focus']",['Arts Group'],Neutral
18 - 24,Female,Domestic,SUTD,3,Self-paced/Individual,Small,Arts,1.0,Design Engineer,6,8,8,7,8,5,5,4,6,0,Scholarship,6.0,Off campus,Ambivert,0,14,Professional,1,1,Low,1,4.666666666666667,"['Technology Focus', 'Technology Focus', 'Industry Connections']",['Technology Club'],Neutral
18 - 24,Male,Domestic,SUTD,3,Visual,Small,Computing,0.5,Software Engineer,7,7,6,7,8,6,5,4,7,0,Scholarship,7.0,Off campus,Extroverted,0,12,Sports,3,2,Low,0,5.0,"['Industry Connections', 'Hands-on Learning', 'Innovation Culture']","['Technology Club', 'Sports Club', 'Technology Club']",Neutral
18 - 24,Female,Domestic,SUTD,3,Auditory,Small,Computing,0.5,Design Engineer,8,7,8,7,8,5,6,5,7,0,Loan,7.5,On campus,Ambivert,0,16,Arts,3,3,Medium,1,5.333333333333333,"['Research Opportunities', 'Innovation Culture', 'Hands-on Learning']","['Innovation Lab', 'Innovation Lab', 'Technology Club']",Neutral
25 - 30,Female,Domestic,SUTD,3,Group-based,Small,Computing,0.5,Product Manager,7,8,7,6,8,6,6,4,6,0,Scholarship,6.5,Off campus,Ambivert,0,11,Professional,2,2,Low,0,5.333333333333333,"['Small Class Size', 'Industry Connections', 'Innovation Culture']","['Arts Group', 'Sports Club']",Neutral
18 - 24,Female,Domestic,SUTD,4,Theoretical,Small,Computing,0.0,Software Engineer,6,7,8,7,7,6,5,5,7,0,Scholarship,6.5,Commute,Introverted,0,18,Professional,1,2,Low,1,5.333333333333333,"['Small Class Size', 'Innovation Culture', 'Innovation Culture']",['Sports Club'],Satisfied
18 - 24,Female,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,0.5,Design Engineer,6,9,7,7,7,6,5,5,7,1,Family,6.5,On campus,Ambivert,1,12,Professional,2,4,Medium,1,5.333333333333333,"['Industry Connections', 'Small Class Size', 'Technology Focus']","['Technology Club', 'Design Club']",Neutral
18 - 24,Male,Domestic,SUTD,4,Hands-on/Practical,Small,Engineering,1.0,Design Engineer,7,8,7,6,7,5,6,5,7,0,Scholarship,7.0,Off campus,Extroverted,1,12,Professional,2,4,Medium,0,5.333333333333333,"['Campus Facilities', 'Technology Focus', 'Research Opportunities']","['Technology Club', 'Innovation Lab']",Satisfied
Under 18,Male,Domestic,SUTD,3,Group-based,Small,Arts,1.0,Software Engineer,6,7,7,6,8,4,6,5,6,1,Family,6.0,Off campus,Ambivert,0,14,Arts,1,1,Low,1,5.0,"['Industry Connections', 'Hands-on Learning', 'Hands-on Learning']",['Technology Club'],Neutral
25 - 30,Female,Domestic,SUTD,3,Self-paced/Individual,Small,Engineering,1.0,Product Manager,6,7,7,7,8,5,6,4,6,0,Scholarship,6.0,Commute,Introverted,0,15,Community,2,2,Low,1,5.0,"['Technology Focus', 'Innovation Culture', 'Innovation Culture']","['Design Club', 'Technology Club']",Neutral
25 - 30,Male,Domestic,SUTD,3,Group-based,Small,Engineering,0.0,Design Engineer,7,8,7,7,8,5,6,4,6,0,Self-funded,6.5,Commute,Extroverted,0,13,Arts,1,1,Low,1,5.0,"['Innovation Culture', 'Industry Connections', 'Small Class Size']",['Innovation Lab'],Neutral
Over 30,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,1.0,Software Engineer,5,8,7,6,7,5,5,4,7,1,Family,6.0,On campus,Introverted,1,15,Sports,3,5,Medium,0,4.666666666666667,"['Hands-on Learning', 'Technology Focus', 'Industry Connections']","['Technology Club', 'Design Club', 'Sports Club']",Neutral
18 - 24,Female,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,1.0,Design Engineer,6,8,8,7,7,6,6,4,7,1,Loan,6.5,On campus,Extroverted,0,16,Academic,2,2,Low,1,5.333333333333333,"['Innovation Culture', 'Innovation Culture', 'Campus Facilities']","['Technology Club', 'Innovation Lab']",Neutral
18 - 24,Male,Domestic,SUTD,4,Hands-on/Practical,Small,Engineering,1.0,Design Engineer,7,7,8,7,7,5,6,5,7,1,Scholarship,7.0,On campus,Ambivert,0,15,Academic,2,2,Low,1,5.333333333333333,"['Industry Connections', 'Research Opportunities', 'Innovation Culture']","['Innovation Lab', 'Arts Group']",Satisfied
18 - 24,Female,Domestic,SUTD,4,Hands-on/Practical,Small,Arts,0.5,Product Manager,7,7,8,6,7,6,6,5,7,1,Scholarship,7.0,Off campus,Introverted,1,15,Arts,4,5,Medium,1,5.666666666666667,"['Innovation Culture', 'Hands-on Learning', 'Hands-on Learning']","['Sports Club', 'Technology Club', 'Arts Group', 'Technology Club']",Satisfied
18 - 24,Female,Domestic,SUTD,3,Group-based,Small,Computing,1.0,Software Engineer,6,7,7,6,8,5,5,5,6,0,Scholarship,6.0,On campus,Introverted,0,15,Academic,3,3,Medium,1,5.0,"['Technology Focus', 'Technology Focus', 'Innovation Culture']","['Sports Club', 'Sports Club', 'Arts Group']",Neutral
18 - 24,Female,Domestic,SUTD,3,Auditory,Small,Computing,0.0,Design Engineer,7,7,7,6,8,4,5,5,7,0,Scholarship,7.0,Commute,Extroverted,0,14,Professional,4,3,Medium,1,4.666666666666667,"['Small Class Size', 'Innovation Culture', 'Research Opportunities']","['Technology Club', 'Arts Group', 'Innovation Lab', 'Innovation Lab']",Neutral
18 - 24,Female,International,SUTD,4,Visual,Small,Engineering,0.0,Engineer,6,7,8,6,8,6,6,5,6,0,Loan,6.0,Off campus,Introverted,0,17,Arts,3,3,Medium,1,5.666666666666667,"['Innovation Culture', 'Innovation Culture', 'Industry Connections']","['Technology Club', 'Innovation Lab', 'Innovation Lab']",Satisfied
18 - 24,Female,International,SUTD,3,Hands-on/Practical,Small,Computing,0.0,Software Engineer,7,7,8,6,7,5,5,4,6,1,Loan,6.5,Commute,Introverted,0,16,Academic,3,3,Medium,1,4.666666666666667,"['Hands-on Learning', 'Technology Focus', 'Technology Focus']","['Innovation Lab', 'Design Club', 'Technology Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Visual,Small,Engineering,0.5,Product Manager,7,7,8,6,7,6,6,4,6,0,Family,6.5,On campus,Introverted,1,17,Academic,2,4,Medium,1,5.333333333333333,"['Innovation Culture', 'Hands-on Learning', 'Innovation Culture']","['Design Club', 'Arts Group']",Neutral
18 - 24,Female,Domestic,SUTD,3,Visual,Small,Engineering,0.5,Engineer,6,7,7,6,8,6,6,4,6,1,Scholarship,6.0,Off campus,Ambivert,0,16,Academic,2,2,Low,1,5.333333333333333,"['Small Class Size', 'Research Opportunities', 'Industry Connections']","['Technology Club', 'Innovation Lab']",Neutral
18 - 24,Female,Domestic,SUTD,4,Theoretical,Small,Computing,0.5,Engineer,6,7,7,5,8,5,5,4,6,0,Scholarship,6.0,Off campus,Extroverted,1,14,Academic,3,4,Medium,1,4.666666666666667,"['Campus Facilities', 'Research Opportunities', 'Small Class Size']","['Design Club', 'Design Club', 'Technology Club']",Satisfied
18 - 24,Female,International,SUTD,3,Theoretical,Small,Engineering,0.5,Engineer,6,7,7,7,7,4,5,5,8,0,Scholarship,7.0,Commute,Introverted,0,17,Arts,2,2,Low,1,4.666666666666667,"['Technology Focus', 'Industry Connections', 'Technology Focus']","['Technology Club', 'Technology Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Visual,Small,Computing,1.0,Design Engineer,6,8,7,6,8,5,5,5,6,1,Family,6.0,On campus,Extroverted,1,13,Academic,2,4,Medium,1,5.0,"['Small Class Size', 'Campus Facilities', 'Hands-on Learning']","['Arts Group', 'Design Club']",Neutral
Under 18,Male,Domestic,SUTD,4,Visual,Small,Engineering,0.0,Design Engineer,6,8,8,7,8,6,6,5,6,0,Scholarship,6.0,Commute,Extroverted,1,15,Professional,2,4,Medium,0,5.666666666666667,"['Research Opportunities', 'Hands-on Learning', 'Industry Connections']","['Technology Club', 'Innovation Lab']",Satisfied
18 - 24,Male,Domestic,SUTD,3,Theoretical,Small,Arts,1.0,Software Engineer,7,8,7,7,7,5,5,4,7,0,Loan,7.0,On campus,Extroverted,0,15,Academic,5,4,Medium,1,4.666666666666667,"['Technology Focus', 'Hands-on Learning', 'Technology Focus']","['Technology Club', 'Arts Group', 'Technology Club', 'Technology Club', 'Arts Group']",Neutral
18 - 24,Female,Domestic,SUTD,4,Auditory,Small,Computing,0.0,Product Manager,6,8,8,6,8,5,6,5,6,0,Scholarship,6.0,Off campus,Introverted,0,15,Professional,1,2,Low,1,5.333333333333333,"['Innovation Culture', 'Research Opportunities', 'Campus Facilities']",['Technology Club'],Satisfied
18 - 24,Female,Domestic,SUTD,3,Theoretical,Small,Engineering,1.0,Engineer,6,8,7,7,7,6,6,4,6,1,Family,6.0,On campus,Ambivert,1,13,Academic,1,3,Medium,1,5.333333333333333,"['Innovation Culture', 'Hands-on Learning', 'Hands-on Learning']",['Technology Club'],Neutral
18 - 24,Male,Domestic,SUTD,4,Group-based,Small,Arts,1.0,Engineer,6,8,7,6,6,5,6,5,6,0,Scholarship,6.0,On campus,Introverted,1,13,Arts,1,3,Medium,1,5.333333333333333,"['Technology Focus', 'Technology Focus', 'Technology Focus']",['Technology Club'],Satisfied
25 - 30,Male,Domestic,SUTD,3,Group-based,Small,Computing,0.5,Engineer,6,8,6,6,7,5,6,5,8,1,Scholarship,7.0,On campus,Introverted,0,15,Community,3,3,Medium,0,5.333333333333333,"['Campus Facilities', 'Research Opportunities', 'Industry Connections']","['Sports Club', 'Technology Club', 'Arts Group']",Neutral
18 - 24,Prefer not to say,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,0.0,Entrepreneur,7,7,8,7,8,5,6,5,6,0,Scholarship,6.5,Off campus,Ambivert,1,16,Community,4,5,Medium,1,5.333333333333333,"['Industry Connections', 'Industry Connections', 'Hands-on Learning']","['Arts Group', 'Design Club', 'Sports Club', 'Technology Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Computing,0.5,Product Manager,6,8,8,7,7,5,5,4,7,1,Family,6.5,On campus,Ambivert,0,13,Community,2,2,Low,0,4.666666666666667,"['Hands-on Learning', 'Industry Connections', 'Campus Facilities']","['Innovation Lab', 'Innovation Lab']",Neutral
18 - 24,Male,Domestic,SUTD,3,Group-based,Small,Computing,0.5,Product Manager,6,8,7,7,7,5,6,4,6,0,Family,6.0,On campus,Introverted,1,17,Professional,1,4,Medium,1,5.0,"['Industry Connections', 'Industry Connections', 'Hands-on Learning']",['Innovation Lab'],Neutral
18 - 24,Male,International,SUTD,3,Visual,Small,Arts,1.0,Entrepreneur,7,8,7,7,8,6,4,5,7,1,Loan,7.0,On campus,Extroverted,1,16,Arts,3,5,Medium,1,5.0,"['Technology Focus', 'Research Opportunities', 'Hands-on Learning']","['Design Club', 'Design Club', 'Innovation Lab']",Neutral
25 - 30,Male,International,SUTD,3,Theoretical,Small,Computing,0.5,Software Engineer,6,7,8,7,7,6,6,4,7,0,Family,6.5,Commute,Extroverted,0,13,Sports,2,2,Low,1,5.333333333333333,"['Technology Focus', 'Small Class Size', 'Innovation Culture']","['Innovation Lab', 'Technology Club']",Neutral
25 - 30,Male,Domestic,SUTD,4,Self-paced/Individual,Small,Engineering,0.0,Software Engineer,7,7,8,6,7,6,5,4,7,0,Family,7.0,On campus,Introverted,0,13,Academic,3,2,Low,0,5.0,"['Research Opportunities', 'Hands-on Learning', 'Campus Facilities']","['Technology Club', 'Technology Club', 'Innovation Lab']",Satisfied
25 - 30,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Computing,0.0,Software Engineer,5,8,7,6,8,6,6,5,7,1,Family,6.0,Off campus,Ambivert,1,13,Arts,4,5,Medium,1,5.666666666666667,"['Campus Facilities', 'Campus Facilities', 'Campus Facilities']","['Arts Group', 'Sports Club', 'Arts Group', 'Innovation Lab']",Neutral
25 - 30,Female,Domestic,SUTD,4,Visual,Small,Computing,1.0,Software Engineer,7,7,8,7,8,5,5,4,6,1,Family,6.5,On campus,Extroverted,0,16,Academic,1,2,Low,1,4.666666666666667,"['Innovation Culture', 'Technology Focus', 'Technology Focus']",['Arts Group'],Satisfied
18 - 24,Male,Domestic,SUTD,4,Hands-on/Practical,Small,Arts,1.0,Entrepreneur,6,8,8,7,6,6,6,4,7,1,Scholarship,6.5,On campus,Introverted,0,15,Arts,2,2,Low,1,5.333333333333333,"['Research Opportunities', 'Campus Facilities', 'Industry Connections']","['Technology Club', 'Technology Club']",Satisfied
18 - 24,Female,International,SUTD,3,Group-based,Small,Computing,1.0,Software Engineer,7,8,8,6,8,5,5,4,7,0,Family,7.0,On campus,Introverted,0,18,Arts,2,2,Low,1,4.666666666666667,"['Industry Connections', 'Campus Facilities', 'Hands-on Learning']","['Arts Group', 'Innovation Lab']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Computing,1.0,Design Engineer,6,8,7,7,7,6,6,4,5,1,Family,5.5,On campus,Extroverted,1,12,Academic,1,3,Medium,0,5.333333333333333,"['Technology Focus', 'Campus Facilities', 'Campus Facilities']",['Arts Group'],Neutral
18 - 24,Male,Domestic,SUTD,3,Group-based,Small,Arts,0.5,Design Engineer,6,8,8,6,8,6,5,4,6,1,Loan,6.0,On campus,Introverted,0,18,Community,2,2,Low,1,5.0,"['Hands-on Learning', 'Innovation Culture', 'Campus Facilities']","['Technology Club', 'Arts Group']",Neutral
18 - 24,Male,International,SUTD,3,Hands-on/Practical,Small,Engineering,0.5,Software Engineer,6,8,8,6,9,6,5,4,6,0,Self-funded,6.0,On campus,Introverted,0,14,Arts,2,2,Low,1,5.0,"['Hands-on Learning', 'Industry Connections', 'Campus Facilities']","['Technology Club', 'Design Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,0.5,Product Manager,6,7,7,7,8,5,6,4,7,0,Family,6.5,On campus,Introverted,0,14,Arts,2,2,Low,1,5.0,"['Technology Focus', 'Campus Facilities', 'Technology Focus']","['Design Club', 'Arts Group']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,0.0,Software Engineer,6,7,8,6,8,5,6,4,6,1,Family,6.0,On campus,Extroverted,0,14,Community,3,2,Low,1,5.0,"['Innovation Culture', 'Hands-on Learning', 'Campus Facilities']","['Innovation Lab', 'Innovation Lab', 'Design Club']",Neutral
18 - 24,Male,Domestic,SUTD,4,Self-paced/Individual,Small,Engineering,0.0,Engineer,6,8,8,6,7,5,7,5,7,1,Family,6.5,On campus,Extroverted,0,15,Community,2,2,Low,0,5.666666666666667,"['Campus Facilities', 'Hands-on Learning', 'Campus Facilities']","['Sports Club', 'Sports Club']",Satisfied
18 - 24,Female,International,SUTD,4,Theoretical,Small,Engineering,0.0,Software Engineer,6,8,8,7,7,5,6,5,7,1,Scholarship,6.5,On campus,Ambivert,0,13,Community,4,3,Medium,1,5.333333333333333,"['Industry Connections', 'Campus Facilities', 'Hands-on Learning']","['Innovation Lab', 'Arts Group', 'Technology Club', 'Innovation Lab']",Satisfied
18 - 24,Prefer not to say,Domestic,SUTD,4,Visual,Small,Computing,0.0,Product Manager,7,9,8,6,7,5,5,5,6,1,Family,6.5,On campus,Ambivert,0,14,Professional,2,2,Low,1,5.0,"['Research Opportunities', 'Hands-on Learning', 'Small Class Size']","['Arts Group', 'Technology Club']",Satisfied
18 - 24,Male,Domestic,SUTD,3,Group-based,Small,Computing,0.5,Software Engineer,7,8,8,7,7,5,6,5,8,0,Scholarship,7.5,Off campus,Extroverted,0,16,Sports,4,3,Medium,1,5.333333333333333,"['Industry Connections', 'Innovation Culture', 'Innovation Culture']","['Technology Club', 'Innovation Lab', 'Technology Club', 'Innovation Lab']",Neutral
18 - 24,Male,Domestic,SUTD,4,Visual,Small,Computing,0.5,Software Engineer,6,7,8,6,8,5,6,5,6,1,Scholarship,6.0,On campus,Extroverted,0,14,Sports,1,1,Low,0,5.333333333333333,"['Hands-on Learning', 'Technology Focus', 'Small Class Size']",['Arts Group'],Satisfied
18 - 24,Male,Domestic,SUTD,3,Visual,Small,Engineering,0.5,Design Engineer,6,7,7,6,7,6,7,4,7,0,Loan,6.5,Off campus,Introverted,0,18,Professional,3,3,Medium,0,5.666666666666667,"['Campus Facilities', 'Campus Facilities', 'Innovation Culture']","['Innovation Lab', 'Innovation Lab', 'Design Club']",Neutral
Under 18,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,1.0,Engineer,7,8,8,7,8,6,5,5,6,0,Self-funded,6.5,Off campus,Ambivert,1,18,Arts,2,4,Medium,1,5.333333333333333,"['Innovation Culture', 'Small Class Size', 'Research Opportunities']","['Design Club', 'Design Club']",Neutral
18 - 24,Female,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,1.0,Engineer,7,8,8,7,7,7,6,4,6,0,Family,6.5,On campus,Introverted,0,17,Professional,1,2,Low,1,5.666666666666667,"['Campus Facilities', 'Hands-on Learning', 'Hands-on Learning']",['Arts Group'],Neutral
Under 18,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,0.5,Engineer,6,8,7,7,7,6,6,5,8,1,Loan,7.0,Off campus,Ambivert,0,12,Community,2,2,Low,1,5.666666666666667,"['Hands-on Learning', 'Hands-on Learning', 'Research Opportunities']","['Sports Club', 'Design Club']",Neutral
18 - 24,Male,Domestic,SUTD,4,Hands-on/Practical,Small,Engineering,0.5,Design Engineer,6,8,7,7,7,6,6,4,6,1,Scholarship,6.0,Off campus,Ambivert,1,13,Professional,2,4,Medium,1,5.333333333333333,"['Technology Focus', 'Technology Focus', 'Innovation Culture']","['Arts Group', 'Innovation Lab']",Satisfied
18 - 24,Female,Domestic,SUTD,4,Hands-on/Practical,Small,Engineering,0.5,Entrepreneur,6,7,8,7,8,6,6,5,6,0,Loan,6.0,On campus,Introverted,0,13,Arts,4,3,Medium,1,5.666666666666667,"['Technology Focus', 'Industry Connections', 'Hands-on Learning']","['Design Club', 'Innovation Lab', 'Innovation Lab', 'Sports Club']",Satisfied
18 - 24,Prefer not to say,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,0.5,Product Manager,7,7,7,7,8,5,6,5,6,1,Loan,6.5,On campus,Extroverted,0,16,Sports,2,2,Low,1,5.333333333333333,"['Industry Connections', 'Industry Connections', 'Small Class Size']","['Innovation Lab', 'Design Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,1.0,Product Manager,7,7,7,6,7,6,5,5,6,0,Loan,6.5,Commute,Introverted,1,11,Professional,2,4,Medium,1,5.333333333333333,"['Innovation Culture', 'Innovation Culture', 'Innovation Culture']","['Arts Group', 'Technology Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Engineering,0.5,Design Engineer,7,8,8,6,7,6,5,5,7,1,Scholarship,7.0,Off campus,Introverted,1,13,Arts,2,4,Medium,1,5.333333333333333,"['Research Opportunities', 'Hands-on Learning', 'Campus Facilities']","['Technology Club', 'Design Club']",Neutral
18 - 24,Female,Domestic,SUTD,4,Hands-on/Practical,Small,Engineering,0.0,Entrepreneur,6,8,8,6,8,7,5,4,7,0,Scholarship,6.5,Off campus,Ambivert,0,9,Professional,3,2,Low,1,5.333333333333333,"['Innovation Culture', 'Small Class Size', 'Small Class Size']","['Innovation Lab', 'Technology Club', 'Technology Club']",Satisfied
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Computing,0.5,Design Engineer,7,8,7,6,8,5,6,4,7,0,Loan,7.0,On campus,Extroverted,0,14,Community,2,2,Low,1,5.0,"['Campus Facilities', 'Industry Connections', 'Small Class Size']","['Technology Club', 'Innovation Lab']",Neutral
Under 18,Male,Domestic,SUTD,3,Group-based,Small,Engineering,1.0,Design Engineer,6,7,8,6,7,6,6,5,6,1,Scholarship,6.0,Commute,Introverted,0,15,Arts,3,3,Medium,1,5.666666666666667,"['Technology Focus', 'Innovation Culture', 'Innovation Culture']","['Sports Club', 'Arts Group', 'Innovation Lab']",Neutral
18 - 24,Female,Domestic,SUTD,3,Theoretical,Small,Engineering,1.0,Design Engineer,7,8,8,7,8,6,6,4,8,1,Self-funded,7.5,Off campus,Introverted,0,14,Academic,4,3,Medium,1,5.333333333333333,"['Industry Connections', 'Research Opportunities', 'Innovation Culture']","['Sports Club', 'Technology Club', 'Technology Club', 'Arts Group']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Computing,0.0,Design Engineer,7,8,8,6,8,5,6,5,6,0,Family,6.5,On campus,Introverted,1,15,Professional,1,4,Medium,1,5.333333333333333,"['Industry Connections', 'Industry Connections', 'Technology Focus']",['Arts Group'],Neutral
18 - 24,Male,Domestic,SUTD,4,Hands-on/Practical,Small,Engineering,0.5,Design Engineer,6,7,7,7,7,6,6,5,6,0,Family,6.0,On campus,Introverted,0,15,Professional,3,3,Medium,0,5.666666666666667,"['Industry Connections', 'Industry Connections', 'Technology Focus']","['Sports Club', 'Technology Club', 'Technology Club']",Satisfied
18 - 24,Male,Domestic,SUTD,4,Theoretical,Small,Arts,0.0,Engineer,7,8,7,7,8,5,6,5,6,0,Scholarship,6.5,Commute,Ambivert,0,15,Professional,3,3,Medium,1,5.333333333333333,"['Campus Facilities', 'Industry Connections', 'Innovation Culture']","['Sports Club', 'Design Club', 'Technology Club']",Satisfied
Under 18,Female,Domestic,SUTD,3,Auditory,Small,Arts,0.5,Design Engineer,7,8,8,6,7,7,5,4,7,0,Family,7.0,Commute,Introverted,0,14,Academic,3,2,Low,0,5.333333333333333,"['Technology Focus', 'Innovation Culture', 'Innovation Culture']","['Technology Club', 'Sports Club', 'Innovation Lab']",Neutral
18 - 24,Female,Domestic,SUTD,3,Visual,Small,Arts,0.5,Software Engineer,6,8,7,6,7,5,5,4,7,1,Scholarship,6.5,Off campus,Introverted,0,13,Arts,4,3,Medium,1,4.666666666666667,"['Technology Focus', 'Research Opportunities', 'Innovation Culture']","['Design Club', 'Arts Group', 'Design Club', 'Technology Club']",Neutral
18 - 24,Non-binary,International,SUTD,3,Hands-on/Practical,Small,Engineering,0.5,Engineer,6,7,8,6,7,5,6,5,6,0,Family,6.0,On campus,Extroverted,1,15,Community,2,4,Medium,1,5.333333333333333,"['Hands-on Learning', 'Innovation Culture', 'Innovation Culture']","['Design Club', 'Technology Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Visual,Small,Engineering,0.5,Software Engineer,7,8,7,6,8,5,6,5,6,0,Family,6.5,On campus,Introverted,1,12,Professional,4,5,Medium,1,5.333333333333333,"['Innovation Culture', 'Small Class Size', 'Innovation Culture']","['Technology Club', 'Technology Club', 'Technology Club', 'Technology Club']",Neutral
18 - 24,Female,Domestic,SUTD,3,Hands-on/Practical,Small,Arts,0.0,Engineer,7,8,8,6,8,5,6,4,6,0,Loan,6.5,On campus,Introverted,1,11,Academic,2,4,Medium,1,5.0,"['Small Class Size', 'Innovation Culture', 'Research Opportunities']","['Technology Club', 'Technology Club']",Neutral
18 - 24,Male,Domestic,SUTD,3,Hands-on/Practical,Small,Computing,1.0,Design Engineer,7,7,7,7,8,5,5,4,6,1,Scholarship,6.5,On campus,Extroverted,0,17,Academic,2,2,Low,1,4.666666666666667,"['Campus Facilities', 'Small Class Size', 'Innovation Culture']","['Design Club', 'Arts Group']",Neutral
18 - 24,Male,International,SUTD,3,Hands-on/Practical,Small,Arts,0.5,Product Manager,6,8,8,7,7,4,6,5,6,1,Family,6.0,On campus,Introverted,0,17,Academic,3,3,Medium,1,5.0,"['Campus Facilities', 'Campus Facilities', 'Hands-on Learning']","['Technology Club', 'Technology Club', 'Technology Club']",Neutral
25 - 30,Male,Domestic,SUTD,4,Theoretical,Small,Computing,1.0,Engineer,7,7,8,6,7,6,6,5,6,1,Family,6.5,Commute,Ambivert,0,9,Sports,2,1,Low,1,5.666666666666667,"['Hands-on Learning', 'Hands-on Learning', 'Innovation Culture']","['Technology Club', 'Arts Group']",Satisfied
18 - 24,Male,Domestic,SUTD,3,Group-based,Small,Engineering,0.0,Entrepreneur,7,8,7,7,8,6,7,4,6,0,Scholarship,6.5,On campus,Extroverted,1,15,Arts,3,5,Medium,1,5.666666666666667,"['Hands-on Learning', 'Industry Connections', 'Campus Facilities']","['Innovation Lab', 'Technology Club', 'Innovation Lab']",Neutral
