age,gender,nationality,qualification,highSchoolGPA,university,selectionCriteria,consideredOthers,secondChoice,satisfaction,universityTags,learningStyle,populationPreference,campusSetting,costImportance,scholarship,living,major,careerGoal,internshipImportance,universityInternship,familyInfluence,friendInfluence,socialMediaInfluence,rankingInfluence
23,Male,Indonesian,IB,3.26,SUSS,"Specific Course Offerings,Faculty Quality,Ranking",Yes,NUS,8,"Flexible Learning,Lifelong Learning",Lecture-Based,Medium,Suburban,2,No,Commute,Supply Chain Management,Researcher,8,No,9,2,9,9
21,Male,Malaysian,Polytechnic Diploma,3.24,SUSS,"Ranking,Scholarships,Campus Facilities",Yes,SUTD,6,"Practice-Oriented,Work-Study Integration",Lecture-Based,Small,Suburban,7,No,On Campus,Social Work,Government,9,Yes,5,3,10,9
21,Prefer not to say,Vietnamese,IB,3.46,SUSS,"Specific Course Offerings,Reputation,Faculty Quality",Yes,SUTD,7,"Practice-Oriented,Flexible Learning",Lecture-Based,Large,Suburban,3,No,Commute,Social Work,Researcher,8,No,6,2,6,5
24,Other,Chinese,IB,3.40,SUSS,"Ranking,Reputation,Specific Course Offerings",No,SMU,9,"Practice-Oriented,Flexible Learning",Hands-On,Medium,Suburban,2,Yes,On Campus,Supply Chain Management,NGO/Non-profit,8,No,3,8,3,9
24,Female,Other Asian,A-Levels,3.58,SUSS,"Tuition Fees,Campus Facilities,Specific Course Offerings",No,SUTD,6,"Practice-Oriented,Lifelong Learning",Research-Driven,Small,Suburban,3,Yes,Commute,Business Analytics,NGO/Non-profit,9,Yes,7,4,8,8
23,Other,Vietnamese,IB,3.86,SUSS,"Campus Facilities,Ranking,Scholarships",Yes,SMU,9,"Practice-Oriented,Work-Study Integration",Lecture-Based,Small,Suburban,3,No,Commute,Early Childhood Education,NGO/Non-profit,9,Yes,5,5,10,9
24,Male,Other Asian,IB,3.55,SUSS,"Specific Course Offerings,Tuition Fees,Ranking",Yes,NUS,9,"Practice-Oriented,Work-Study Integration",Research-Driven,Small,Suburban,10,No,On Campus,Social Work,Government,7,Yes,10,10,4,6
20,Female,Singaporean,IB,3.09,SUSS,"Scholarships,Specific Course Offerings,Reputation",Yes,NUS,9,"Practice-Oriented,Work-Study Integration",Online/Hybrid,Small,Urban,9,Yes,On Campus,Supply Chain Management,Entrepreneur,7,Yes,1,4,10,8
22,Male,Other Asian,Polytechnic Diploma,3.77,SUSS,"Tuition Fees,Campus Facilities,Reputation",Yes,NTU,9,"Flexible Learning,Lifelong Learning",Lecture-Based,Large,Suburban,7,No,Commute,Social Work,Government,9,Yes,4,10,9,9
19,Other,Other Asian,A-Levels,3.43,SUSS,"Ranking,Faculty Quality,Campus Facilities",Yes,SUTD,7,"Practice-Oriented,Lifelong Learning",Lecture-Based,Large,Urban,9,Yes,Commute,Business Analytics,Researcher,8,Yes,2,3,6,6
23,Female,Other Asian,IB,3.96,SUSS,"Job Placement Rate,Faculty Quality,Scholarships",Yes,NUS,6,"Flexible Learning,Work-Study Integration",Hands-On,Small,Suburban,6,No,Commute,Social Work,NGO/Non-profit,7,No,4,4,8,8
19,Prefer not to say,Malaysian,High School Diploma,3.59,SUSS,"Campus Facilities,Tuition Fees,Ranking",Yes,NTU,9,"Flexible Learning,Lifelong Learning",Hands-On,Small,Urban,2,No,On Campus,Business Analytics,Researcher,8,Yes,3,1,10,6
20,Female,Vietnamese,Polytechnic Diploma,3.03,SUSS,"Job Placement Rate,Scholarships,Faculty Quality",Yes,SMU,9,"Practice-Oriented,Flexible Learning",Hands-On,Large,Urban,4,No,On Campus,Business Analytics,Researcher,9,Yes,1,4,5,9
21,Other,Chinese,Polytechnic Diploma,3.08,SUSS,"Reputation,Tuition Fees,Ranking",Yes,SMU,8,"Practice-Oriented,Flexible Learning",Hands-On,Medium,Urban,1,Yes,On Campus,Business Analytics,NGO/Non-profit,8,Yes,4,6,10,6
22,Male,Other Asian,IB,3.02,SUSS,"Scholarships,Tuition Fees,Location",Yes,SUTD,9,"Lifelong Learning,Work-Study Integration",Lecture-Based,Small,Urban,9,Yes,On Campus,Business Analytics,Government,8,No,9,7,8,6
24,Other,Malaysian,IB,3.75,SUSS,"Scholarships,Campus Facilities,Specific Course Offerings",Yes,NUS,7,"Lifelong Learning,Work-Study Integration",Hands-On,Large,Urban,5,No,On Campus,Early Childhood Education,Entrepreneur,7,Yes,3,8,8,5
23,Prefer not to say,Indonesian,IB,3.97,SUSS,"Ranking,Tuition Fees,Campus Facilities",Yes,NUS,7,"Flexible Learning,Work-Study Integration",Online/Hybrid,Large,Urban,3,Yes,Commute,Business Analytics,NGO/Non-profit,9,No,1,2,2,6
21,Female,Other Asian,IB,3.63,SUSS,"Reputation,Scholarships,Faculty Quality",Yes,NTU,6,"Flexible Learning,Lifelong Learning",Research-Driven,Large,Urban,7,No,On Campus,Business Analytics,Researcher,8,Yes,7,10,2,9
20,Other,Singaporean,A-Levels,3.42,SUSS,"Tuition Fees,Ranking,Location",Yes,SUTD,7,"Lifelong Learning,Work-Study Integration",Research-Driven,Large,Suburban,10,No,Commute,Early Childhood Education,NGO/Non-profit,8,No,7,2,5,6
22,Other,Chinese,High School Diploma,3.89,SUSS,"Faculty Quality,Location,Campus Facilities",No,SUTD,6,"Lifelong Learning,Work-Study Integration",Hands-On,Small,Urban,1,Yes,Commute,Early Childhood Education,Industry Professional,8,Yes,2,7,6,8
19,Prefer not to say,Singaporean,Polytechnic Diploma,3.36,SUSS,"Ranking,Job Placement Rate,Location",Yes,SMU,7,"Practice-Oriented,Work-Study Integration",Online/Hybrid,Large,Urban,8,Yes,On Campus,Supply Chain Management,NGO/Non-profit,9,Yes,9,8,4,8
19,Prefer not to say,Other Asian,A-Levels,3.89,SUSS,"Campus Facilities,Reputation,Scholarships",Yes,SUTD,8,"Lifelong Learning,Flexible Learning",Lecture-Based,Small,Suburban,10,Yes,On Campus,Business Analytics,NGO/Non-profit,7,Yes,8,10,4,6
19,Other,Chinese,IB,3.18,SUSS,"Faculty Quality,Specific Course Offerings,Reputation",No,SMU,7,"Work-Study Integration,Lifelong Learning",Lecture-Based,Large,Suburban,7,No,Commute,Business Analytics,Researcher,9,No,9,8,5,5
23,Other,Indian,IB,3.44,SUSS,"Location,Campus Facilities,Reputation",Yes,NUS,7,"Flexible Learning,Practice-Oriented",Lecture-Based,Large,Suburban,6,No,On Campus,Supply Chain Management,Government,8,Yes,1,2,3,5
24,Male,Indian,Polytechnic Diploma,3.85,SUSS,"Ranking,Job Placement Rate,Tuition Fees",Yes,NUS,9,"Lifelong Learning,Work-Study Integration",Research-Driven,Medium,Suburban,10,Yes,On Campus,Early Childhood Education,Researcher,8,Yes,10,8,10,6
19,Female,Singaporean,A-Levels,3.88,SUSS,"Campus Facilities,Reputation,Location",Yes,SUTD,8,"Practice-Oriented,Work-Study Integration",Hands-On,Medium,Suburban,10,Yes,Commute,Business Analytics,Researcher,9,Yes,7,5,4,5
21,Female,Chinese,Polytechnic Diploma,3.10,SUSS,"Location,Ranking,Reputation",Yes,NUS,6,"Lifelong Learning,Work-Study Integration",Online/Hybrid,Large,Suburban,10,Yes,On Campus,Early Childhood Education,Government,9,Yes,1,4,7,7
21,Prefer not to say,Malaysian,A-Levels,3.96,SUSS,"Location,Reputation,Tuition Fees",Yes,SUTD,6,"Practice-Oriented,Flexible Learning",Hands-On,Medium,Urban,2,No,On Campus,Social Work,Entrepreneur,9,Yes,2,6,8,6
24,Male,Vietnamese,High School Diploma,3.95,SUSS,"Ranking,Location,Tuition Fees",Yes,SMU,8,"Practice-Oriented,Flexible Learning",Online/Hybrid,Small,Urban,6,No,Commute,Supply Chain Management,Researcher,8,Yes,3,7,4,7
22,Female,Malaysian,Polytechnic Diploma,3.39,SUSS,"Reputation,Scholarships,Campus Facilities",No,NUS,7,"Practice-Oriented,Flexible Learning",Lecture-Based,Large,Urban,6,No,On Campus,Business Analytics,Government,8,No,4,3,7,9
21,Other,Malaysian,IB,3.10,SUSS,"Faculty Quality,Job Placement Rate,Reputation",Yes,SUTD,9,"Lifelong Learning,Flexible Learning",Lecture-Based,Medium,Suburban,5,No,On Campus,Early Childhood Education,Entrepreneur,9,Yes,8,10,5,6
20,Female,Malaysian,A-Levels,3.33,SUSS,"Scholarships,Tuition Fees,Faculty Quality",Yes,SUTD,8,"Work-Study Integration,Practice-Oriented",Lecture-Based,Medium,Urban,5,No,Commute,Social Work,Industry Professional,8,Yes,1,10,1,8
